input position,input joint,output joint
"(0.16, 0.05)","(1.74, -1.08)","(1.82, -1.16)"
"(0.16, 0.05)","(1.83, -1.2)","(1.82, -1.16)"
"(0.16, 0.05)","(1.89, -1.22)","(1.82, -1.16)"
"(0.16, 0.05)","(1.74, -1.09)","(1.82, -1.16)"
"(0.16, 0.05)","(1.75, -1.2)","(1.82, -1.16)"
"(0.16, 0.05)","(1.79, -1.23)","(1.82, -1.16)"
"(0.16, 0.05)","(1.88, -1.1)","(1.82, -1.16)"
"(0.16, 0.05)","(1.77, -1.14)","(1.82, -1.16)"
"(0.16, 0.05)","(1.89, -1.09)","(1.82, -1.16)"
"(0.16, 0.05)","(1.88, -1.06)","(1.82, -1.16)"
"(0.16, 0.05)","(1.84, -1.23)","(1.82, -1.16)"
"(0.16, 0.05)","(1.92, -1.21)","(1.82, -1.16)"
"(0.16, 0.05)","(1.81, -1.18)","(1.82, -1.16)"
"(0.16, 0.05)","(1.77, -1.15)","(1.82, -1.16)"
"(0.43, 0.23)","(1.82, -0.84)","(1.82, -0.83)"
"(0.43, 0.23)","(1.83, -0.88)","(1.82, -0.83)"
"(0.43, 0.23)","(1.91, -0.76)","(1.82, -0.83)"
"(0.43, 0.23)","(1.86, -0.75)","(1.82, -0.83)"
"(0.43, 0.23)","(1.85, -0.83)","(1.82, -0.83)"
"(0.43, 0.23)","(1.87, -0.82)","(1.82, -0.83)"
"(0.43, 0.23)","(1.84, -0.77)","(1.82, -0.83)"
"(0.43, 0.23)","(1.83, -0.9)","(1.82, -0.83)"
"(0.43, 0.23)","(1.91, -0.84)","(1.82, -0.83)"
"(0.43, 0.23)","(1.76, -0.88)","(1.82, -0.83)"
"(0.43, 0.23)","(1.85, -0.92)","(1.82, -0.83)"
"(0.43, 0.23)","(1.83, -0.78)","(1.82, -0.83)"
"(0.43, 0.23)","(1.76, -0.78)","(1.82, -0.83)"
"(0.43, 0.23)","(1.83, -0.93)","(1.82, -0.83)"
"(0.43, 0.23)","(1.9, -0.85)","(1.82, -0.83)"
"(0.43, 0.23)","(1.72, -0.84)","(1.82, -0.83)"
"(0.43, 0.23)","(1.83, -0.79)","(1.82, -0.83)"
"(0.43, 0.23)","(1.84, -0.76)","(1.82, -0.83)"
"(0.43, 0.23)","(1.82, -0.92)","(1.82, -0.83)"
"(0.43, 0.23)","(1.86, -0.73)","(1.82, -0.83)"
"(0.63, 0.49)","(1.84, -0.51)","(1.82, -0.5)"
"(0.63, 0.49)","(1.74, -0.58)","(1.82, -0.5)"
"(0.63, 0.49)","(1.86, -0.58)","(1.82, -0.5)"
"(0.63, 0.49)","(1.9, -0.4)","(1.82, -0.5)"
"(0.63, 0.49)","(1.8, -0.4)","(1.82, -0.5)"
"(0.63, 0.49)","(1.74, -0.42)","(1.82, -0.5)"
"(0.63, 0.49)","(1.82, -0.46)","(1.82, -0.5)"
"(0.63, 0.49)","(1.86, -0.49)","(1.82, -0.5)"
"(0.63, 0.49)","(1.73, -0.56)","(1.82, -0.5)"
"(0.63, 0.49)","(1.87, -0.44)","(1.82, -0.5)"
"(0.63, 0.49)","(1.76, -0.45)","(1.82, -0.5)"
"(0.63, 0.49)","(1.86, -0.41)","(1.82, -0.5)"
"(0.63, 0.49)","(1.86, -0.44)","(1.82, -0.5)"
"(0.63, 0.49)","(1.76, -0.41)","(1.82, -0.5)"
"(0.63, 0.49)","(1.78, -0.4)","(1.82, -0.5)"
"(0.63, 0.49)","(1.73, -0.55)","(1.82, -0.5)"
"(0.63, 0.49)","(1.75, -0.56)","(1.82, -0.5)"
"(0.63, 0.49)","(1.8, -0.41)","(1.82, -0.5)"
"(0.63, 0.49)","(1.86, -0.48)","(1.82, -0.5)"
"(0.63, 0.49)","(1.73, -0.52)","(1.82, -0.5)"
"(0.74, 0.8)","(1.83, -0.2)","(1.82, -0.17)"
"(0.74, 0.8)","(1.86, -0.12)","(1.82, -0.17)"
"(0.74, 0.8)","(1.77, -0.17)","(1.82, -0.17)"
"(0.74, 0.8)","(1.74, -0.11)","(1.82, -0.17)"
"(0.74, 0.8)","(1.85, -0.17)","(1.82, -0.17)"
"(0.74, 0.8)","(1.78, -0.07)","(1.82, -0.17)"
"(0.74, 0.8)","(1.74, -0.2)","(1.82, -0.17)"
"(0.74, 0.8)","(1.85, -0.19)","(1.82, -0.17)"
"(0.74, 0.8)","(1.88, -0.1)","(1.82, -0.17)"
"(0.74, 0.8)","(1.91, -0.21)","(1.82, -0.17)"
"(0.74, 0.8)","(1.87, -0.2)","(1.82, -0.17)"
"(0.74, 0.8)","(1.85, -0.2)","(1.82, -0.17)"
"(0.74, 0.8)","(1.86, -0.09)","(1.82, -0.17)"
"(0.74, 0.8)","(1.83, -0.16)","(1.82, -0.17)"
"(0.74, 0.8)","(1.85, -0.15)","(1.82, -0.17)"
"(0.74, 0.8)","(1.86, -0.11)","(1.82, -0.17)"
"(0.74, 0.8)","(1.75, -0.13)","(1.82, -0.17)"
"(0.74, 0.8)","(1.83, -0.23)","(1.82, -0.17)"
"(0.74, 0.8)","(1.76, -0.25)","(1.82, -0.17)"
"(0.74, 0.8)","(1.88, -0.08)","(1.82, -0.17)"
"(0.74, 1.13)","(1.75, 0.21)","(1.82, 0.17)"
"(0.74, 1.13)","(1.76, 0.09)","(1.82, 0.17)"
"(0.74, 1.13)","(1.89, 0.08)","(1.82, 0.17)"
"(0.74, 1.13)","(1.85, 0.19)","(1.82, 0.17)"
"(0.74, 1.13)","(1.81, 0.1)","(1.82, 0.17)"
"(0.74, 1.13)","(1.78, 0.15)","(1.82, 0.17)"
"(0.74, 1.13)","(1.91, 0.21)","(1.82, 0.17)"
"(0.74, 1.13)","(1.83, 0.18)","(1.82, 0.17)"
"(0.74, 1.13)","(1.85, 0.11)","(1.82, 0.17)"
"(0.74, 1.13)","(1.83, 0.24)","(1.82, 0.17)"
"(0.74, 1.13)","(1.8, 0.2)","(1.82, 0.17)"
"(0.74, 1.13)","(1.87, 0.09)","(1.82, 0.17)"
"(0.74, 1.13)","(1.83, 0.08)","(1.82, 0.17)"
"(0.74, 1.13)","(1.83, 0.24)","(1.82, 0.17)"
"(0.74, 1.13)","(1.86, 0.1)","(1.82, 0.17)"
