input position,input joint,output joint
"(0.16, 1.89)","(1.17, 1.85)","(1.16, 1.82)"
"(0.16, 1.89)","(1.18, 1.87)","(1.16, 1.82)"
"(0.16, 1.89)","(1.16, 1.83)","(1.16, 1.82)"
"(0.16, 1.89)","(1.19, 1.79)","(1.16, 1.82)"
"(0.16, 1.89)","(1.12, 1.86)","(1.16, 1.82)"
"(0.16, 1.89)","(1.19, 1.86)","(1.16, 1.82)"
"(0.16, 1.89)","(1.16, 1.83)","(1.16, 1.82)"
"(-0.15, 1.75)","(1.21, 2.11)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.16, 2.19)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.12, 2.13)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.19, 2.11)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.17, 2.19)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.15, 2.13)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.11, 2.17)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.14, 2.15)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.17, 2.12)","(1.16, 2.15)"
"(-0.15, 1.75)","(1.16, 2.11)","(1.16, 2.15)"
"(-0.39, 1.53)","(1.17, 2.45)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.16, 2.47)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.12, 2.5)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.18, 2.44)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.18, 2.5)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.11, 2.46)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.14, 2.5)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.13, 2.51)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.2, 2.45)","(1.16, 2.48)"
"(-0.39, 1.53)","(1.15, 2.5)","(1.16, 2.48)"
"(-0.54, 1.24)","(1.14, 2.77)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.19, 2.77)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.2, 2.78)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.14, 2.81)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.19, 2.82)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.2, 2.84)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.14, 2.86)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.13, 2.85)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.2, 2.86)","(1.16, 2.81)"
"(-0.54, 1.24)","(1.13, 2.8)","(1.16, 2.81)"
"(-0.6, 0.92)","(1.11, 3.1)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.13, 3.15)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.11, 3.1)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.12, 3.11)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.19, 3.11)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.15, 3.18)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.14, 3.18)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.11, 3.11)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.15, 3.13)","(1.16, 3.14)"
"(-0.6, 0.92)","(1.11, 3.1)","(1.16, 3.14)"
"(-0.92, 1.0)","(1.51, -3.1)","(1.49, -3.14)"
"(-0.92, 1.0)","(1.44, -3.17)","(1.49, -3.14)"
"(-0.92, 1.0)","(1.53, -3.15)","(1.49, -3.14)"
"(-0.92, 1.0)","(1.47, -3.16)","(1.49, -3.14)"
"(-0.92, 1.0)","(1.46, -3.18)","(1.49, -3.14)"
"(-0.92, 1.0)","(1.46, -3.16)","(1.49, -3.14)"
"(-0.92, 1.0)","(1.48, -3.12)","(1.49, -3.14)"
